family,Photobacterium-profundum-SS9,Vibrio-cholerae-2740-80,Vibrio-cholerae-M66-2,Aliivibrio-salmonicida-LFI1238
954,1,0,0,1
955,1,0,1,1
956,1,1,1,1
957,1,0,0,1
958,1,1,1,1
959,1,0,0,1
960,1,1,1,1
961,1,1,1,1
962,0,1,1,1
963,1,1,1,1
964,0,0,0,2
965,1,1,1,1
966,0,1,1,1
967,1,1,1,1
968,1,1,1,1
969,1,1,1,1
970,1,1,1,1
971,1,0,0,1
972,1,0,1,1
973,1,0,0,1
974,1,1,1,1
975,1,1,1,1
976,1,1,1,1
977,0,1,1,1
978,0,0,1,1
979,1,1,1,1
980,1,1,1,1
981,1,1,1,1
982,1,1,1,1
983,1,1,1,1
984,1,0,0,1
985,1,0,1,1
986,1,1,1,1
987,1,1,1,1
988,1,1,1,1
989,1,1,1,1
990,1,0,0,1
991,1,0,1,1
992,1,1,1,1
993,1,0,1,1
994,0,1,1,1
995,1,1,1,1
996,1,0,1,1
997,1,1,1,1
998,1,2,2,1
999,1,1,1,1
1000,1,1,1,1
1001,0,1,1,1
1002,0,1,1,1
1003,1,1,1,1
1004,1,1,1,1
1005,1,1,1,1
1006,0,1,1,1
1007,1,0,0,1
1008,0,1,1,1
1009,1,0,1,1
1010,1,1,1,1
1011,1,0,1,1
1012,1,0,0,1
1013,1,0,0,1
1014,1,1,1,1
1015,1,1,1,1
1016,1,1,1,1
1017,1,0,0,1
1018,1,0,0,1
1019,1,0,1,1
1020,1,1,1,1
1021,1,0,1,1
1022,1,1,1,1
1023,0,1,1,1
1024,1,1,1,1
1025,0,1,1,1
1026,1,1,1,1
1027,1,1,1,1
1028,1,1,1,1
1029,1,1,1,1
1030,1,1,1,1
1031,1,1,1,1
1032,0,1,2,1
1033,1,1,1,1
1034,1,1,1,1
1035,0,1,1,1
1036,1,1,1,1
1037,1,0,0,1
1038,1,0,0,1
1039,0,1,1,1
1040,1,0,1,1
1041,1,1,1,1
1042,0,1,1,1
1043,1,0,0,1
1044,1,1,1,1
1045,1,0,0,1
1046,1,1,1,1
1047,1,0,1,1
1048,1,1,1,1
1049,1,1,1,1
1050,1,1,1,1
1051,1,1,1,1
1052,1,1,1,1
1053,1,1,1,1
1054,1,0,0,1
1055,1,0,1,1
1056,2,0,1,1
1057,0,1,1,1
1058,1,1,1,1
1059,0,1,1,1
1060,0,1,1,1
1061,1,1,1,1
1062,1,0,0,1
1063,1,1,1,1
1064,1,0,0,1
1065,0,1,1,1
1066,1,1,1,1
1067,1,1,1,1
1068,0,0,0,2
1069,1,1,1,1
1070,0,1,1,1
1071,1,1,1,1
1072,1,0,0,1
1073,1,1,1,1
1074,0,1,1,1
1075,1,1,1,1
1076,1,0,0,1
1077,1,1,1,1
1078,0,1,1,1
1079,2,1,1,1
1080,1,1,1,1
1081,1,1,1,1
1082,1,1,1,1
1083,1,1,1,1
1084,1,1,1,1
1085,1,1,1,1
1086,1,1,1,1
1087,1,0,0,1
1088,1,1,1,1
1089,2,2,2,1
1090,1,1,1,1
1091,0,0,0,2
1092,1,1,1,1
1093,1,1,1,1
1094,1,1,1,1
1095,1,1,1,1
1096,1,0,1,1
1097,1,1,1,1
1098,1,1,1,1
1099,1,1,1,1
1100,1,0,0,1
1101,1,1,1,1
1102,1,1,1,1
1103,1,0,0,1
1104,1,1,1,1
1105,1,1,1,1
1106,1,1,1,1
1107,0,1,1,1
1108,1,0,1,1
1109,1,0,0,1
1110,1,1,1,1
1111,1,1,1,1
1112,0,1,1,1
1113,1,1,1,1
1114,1,1,1,1
1115,0,1,1,1
1116,1,0,1,1
1117,1,0,0,1
1118,0,1,1,1
1119,0,1,1,1
1120,1,1,1,1
1121,0,1,1,1
1122,1,1,1,1
1123,1,1,1,1
1124,1,0,1,1
